"","age","ve_h","ve_h_lb","ve_h_ub","ve_d","ve_d_lb","ve_d_ub","ihr_naive","ihr_naive_lb","ihr_naive_ub","ifr_naive","ifr_naive_lb","ifr_naive_ub"
"1","0_4",0.602921647,0.482071713,0.691477895,0.833997344,0.555947434,0.953519256,0.000226,0.000175,0.000286,1.53e-07,1.01e-09,1.11e-06
"2","5_9",0.602921647,0.482071713,0.691477895,0.833997344,0.555947434,0.953519256,0.000222785487319408,0.000172153713512716,0.000282077604369879,1.29977400276258e-07,6.97848365205413e-10,1.0109656172302e-06
"3","10_14",0.602921647,0.482071713,0.691477895,0.833997344,0.555947434,0.953519256,0.000231801183396732,0.000180153103348496,0.000293065918313797,2.04119058359728e-07,1.94091255389869e-09,1.30950149105523e-06
"4","15_19",0.602921647,0.482071713,0.691477895,0.833997344,0.555947434,0.953519256,0.000266862926468155,0.000210652988483618,0.000335753088539195,7.0028193040771e-07,2.94181592272186e-08,2.72200967099475e-06
"5","20_24",0.602921647,0.482071713,0.691477895,0.833997344,0.555947434,0.953519256,0.000314052231518946,0.000252845879321666,0.000391556469635715,2.94698258587942e-06,6.78581896596424e-07,6.44481673161998e-06
"6","25_29",0.602921647,0.482071713,0.691477895,0.833997344,0.555947434,0.953519256,0.000351795700030178,0.000288330420188432,0.000432523953007786,8.30966958770556e-06,6.13154776614154e-06,1.22213916336403e-05
"7","30_34",0.602921647,0.482071713,0.691477895,0.833997344,0.555947434,0.953519256,0.000374889696162518,0.00031113675137472,0.000452752533003767,1.22968348088601e-05,1.16267689958838e-05,1.64854150774819e-05
"8","35_39",0.602921647,0.482071713,0.691477895,0.833997344,0.555947434,0.953519256,0.000411619265102155,0.000345030914893738,0.000488802772512588,1.4986603088586e-05,1.14037364322516e-05,2.12087723312999e-05
"9","40_44",0.602921647,0.482071713,0.691477895,0.833997344,0.555947434,0.953519256,0.00050208255043888,0.000425368000792788,0.000589935433899824,2.49219362256245e-05,1.65609715231026e-05,3.56783905658112e-05
"10","45_49",0.602921647,0.482071713,0.691477895,0.833997344,0.555947434,0.953519256,0.000702968526886717,0.000601990288321599,0.000822630972262812,5.85900188068581e-05,4.29641372812244e-05,7.77501457182027e-05
"11","50_54",0.602921647,0.482071713,0.691477895,0.833997344,0.555947434,0.953519256,0.00112504757758911,0.000969661401449655,0.00131394690735105,0.000129335947642062,0.000104540177869744,0.000160603616842179
"12","55_59",0.602921647,0.482071713,0.691477895,0.833997344,0.555947434,0.953519256,0.00192129877318492,0.00166017610918041,0.00223854136102285,0.000232523403893279,0.000189419078146196,0.000283095830645511
"13","60_64",0.602921647,0.482071713,0.691477895,0.833997344,0.555947434,0.953519256,0.003085683505152,0.00267636512390386,0.00358461346345306,0.000391808710079314,0.000316532200134688,0.000476478615988981
"14","65_69",0.389110226,0.187250996,0.560424967,0.833997344,0.555947434,0.953519256,0.00500418788596274,0.00435400159389833,0.00580295253897864,0.00081169402736761,0.000661298719685926,0.000987057573899036
"15","70_74",0.602921647,0.482071713,0.691477895,0.715803453,0.464538235,0.856573705,0.0151341748411482,0.0130907157950819,0.0175957396335861,0.00283320454410324,0.00233324975943765,0.00343588684209535
"16","75_79",0.641434263,0.551128818,0.706657842,0.837981408,0.735534928,0.903054449,0.0252500006634012,0.0216318603244382,0.0294839946770813,0.00606859330769162,0.0050222841167103,0.00733253481039704
"17","80_+",0.588406902730061,0.477114292093196,0.670530897635255,0.66511490393063,0.460987201146793,0.789622176503042,0.0536578198763023,0.0459690469062224,0.0626553201604383,0.0122429908834092,0.0101321303862697,0.0147929103639537
